Environment,Plot,Genotype,Rep,Block,Row,Column,Line.type,Yield
Env1,59,1,1,2,2,19,Entry,5873.2922
Env1,19,2,1,1,1,19,Entry,5843.6048
Env1,27,3,1,1,1,27,Entry,5776.7444
Env1,127,4,1,4,4,7,Entry,6283.8298
Env1,132,5,1,4,4,12,Entry,5703.4884
Env1,92,6,1,3,3,12,Entry,6357.5584
Env1,106,7,1,3,3,26,Entry,3461.1556
Env1,82,8,1,3,3,2,Entry,5752.9254
Env1,199,9,1,5,5,39,Entry,4124.9999
Env1,57,10,1,2,2,17,Entry,4676.5988
Env1,68,11,1,2,2,28,Entry,5468.0232
Env1,44,12,1,2,2,4,Entry,5585.5739
Env1,131,13,1,4,4,11,Entry,7333.1216
Env1,96,14,1,3,3,16,Entry,3704.6513
Env1,145,15,1,4,4,25,Entry,5980.8142
Env1,163,16,1,5,5,3,Entry,5424.8546
Env1,3,17,1,1,1,3,Entry,4948.0377
Env1,24,18,1,1,1,24,Entry,5839.6076
Env1,38,19,1,1,1,38,Entry,5344.3316
Env1,181,20,1,5,5,21,Entry,6247.6747
Env1,75,21,1,2,2,35,Entry,4671.875
Env1,21,22,1,1,1,21,Entry,5575.4362
Env1,200,23,1,5,5,40,Entry,5443.75
Env1,190,24,1,5,5,30,Entry,5311.0465
Env1,134,25,1,4,4,14,Entry,6041.8602
Env1,60,26,1,2,2,20,Entry,5506.8317
Env1,161,27,1,5,5,1,Entry,4747.2746
Env1,12,28,1,1,1,12,Entry,4798.8733
Env1,49,29,1,2,2,9,Entry,5225.5816
Env1,72,30,1,2,2,32,Entry,4801.9622
Env1,193,31,1,5,5,33,Entry,4652.1804
Env1,122,32,1,4,4,2,Entry,4179.1423
Env1,133,33,1,4,4,13,Entry,6724.8306
Env1,119,34,1,3,3,39,Entry,5293.5501
Env1,180,35,1,5,5,20,Entry,5963.1901
Env1,53,36,1,2,2,13,Entry,5208.4304
Env1,164,37,1,5,5,4,Entry,5798.9825
Env1,171,38,1,5,5,11,Entry,5606.7588
Env1,35,39,1,1,1,35,Entry,4781.25
Env1,176,40,1,5,5,16,Entry,4071.9478
Env1,198,41,1,5,5,38,Entry,5125
Env1,124,42,1,4,4,4,Entry,4286.2282
Env1,187,43,1,5,5,27,Entry,4709.3025
Env1,1,44,1,1,1,1,Entry,4956.3953
Env1,66,45,1,2,2,26,Entry,4742.0058
Env1,86,46,1,3,3,6,Entry,4156.9767
Env1,148,47,1,4,4,28,Entry,5238.0231
Env1,40,48,1,1,1,40,Entry,4757.1586
Env1,182,49,1,5,5,22,Entry,5103.7062
Env1,16,50,1,1,1,16,Entry,5691.3156
Env1,144,51,1,4,4,24,Entry,5176.4896
Env1,62,52,1,2,2,22,Entry,5730.6688
Env1,88,53,1,3,3,8,Entry,4557.5947
Env1,153,54,1,4,4,33,Entry,4087.6091
Env1,150,55,1,4,4,30,Entry,4551.0175
Env1,46,56,1,2,2,6,Entry,5525.5816
Env1,81,57,1,3,3,1,Entry,5160.7556
Env1,101,58,1,3,3,21,Entry,6233.2123
Env1,15,59,1,1,1,15,Entry,4071.9478
Env1,32,60,1,1,1,32,Entry,4334.6888
Env1,76,61,1,2,2,36,Entry,4165.9158
Env1,168,62,1,5,5,8,Entry,3807.6306
Env1,123,63,1,4,4,3,Entry,4481.8314
Env1,93,64,1,3,3,13,Entry,6844.295
Env1,195,65,1,5,5,35,Entry,5658.7936
Env1,13,66,1,1,1,13,Entry,6342.8417
Env1,147,67,1,4,4,27,Entry,5499.0917
Env1,146,68,1,4,4,26,Entry,4071.9478
Env1,121,69,1,4,4,1,Entry,5000
Env1,58,70,1,2,2,18,Entry,5000
Env1,142,71,1,4,4,22,Entry,4720.2033
Env1,158,72,1,4,4,38,Entry,3746.4572
Env1,33,73,1,1,1,33,Entry,4081.3955
Env1,29,74,1,1,1,29,Entry,5341.9799
Env1,11,75,1,1,1,11,Entry,4801.5623
Env1,117,76,1,3,3,37,Entry,4552.3258
Env1,67,77,1,2,2,27,Entry,4062.5
Env1,98,78,1,3,3,18,Entry,4153.7789
Env1,125,79,1,4,4,5,Entry,4876.4534
Env1,138,80,1,4,4,18,Entry,4937.4091
Env1,102,81,1,3,3,22,Entry,5361.9185
Env1,113,82,1,3,3,33,Entry,5713.9537
Env1,54,83,1,2,2,14,Entry,5526.3808
Env1,26,84,1,1,1,26,Entry,5046.5115
Env1,192,85,1,5,5,32,Entry,5456.5406
Env1,37,86,1,1,1,37,Entry,4165.9158
Env1,157,87,1,4,4,37,Entry,3546.875
Env1,109,88,1,3,3,29,Entry,4299.4186
Env1,155,89,1,4,4,35,Entry,4504.1427
Env1,85,90,1,3,3,5,Entry,5588.3723
Env1,126,91,1,4,4,6,Entry,5127.9071
Env1,31,92,1,1,1,31,Entry,6076.599
Env1,84,93,1,3,3,4,Entry,6419.4765
Env1,23,94,1,1,1,23,Entry,5992.7324
Env1,7,95,1,1,1,7,Entry,6786.1374
Env1,154,96,1,4,4,34,Entry,5461.8095
Env1,45,97,1,2,2,5,Entry,4175.5816
Env1,78,98,1,2,2,38,Entry,6504.3606
Env1,56,99,1,2,2,16,Entry,5011.628
Env1,156,100,1,4,4,36,Entry,6041.3154
Env1,61,101,1,2,2,21,Entry,5400.0002
Env1,94,102,1,3,3,14,Entry,5424.8185
Env1,135,103,1,4,4,15,Entry,6859.884
Env1,112,104,1,3,3,32,Entry,4803.4886
Env1,95,105,1,3,3,15,Entry,5138.2629
Env1,80,106,1,2,2,40,Entry,6733.4416
Env1,41,107,1,2,2,1,Entry,4875
Env1,18,108,1,1,1,18,Entry,4472.9651
Env1,83,109,1,3,3,3,Entry,6184.884
Env1,91,110,1,3,3,11,Entry,6437.5
Env1,100,111,1,3,3,20,Entry,5521.4028
Env1,177,112,1,5,5,17,Entry,5953.125
Env1,172,113,1,5,5,12,Entry,6852.1982
Env1,10,114,1,1,1,10,Entry,4423.9035
Env1,64,115,1,2,2,24,Entry,6144.3055
Env1,6,116,1,1,1,6,Entry,4473.9461
Env1,151,117,1,4,4,31,Entry,3924.4188
Env1,167,118,1,5,5,7,Entry,4778.4156
Env1,185,119,1,5,5,25,Entry,5280.1234
Env1,129,120,1,4,4,9,Entry,5237.7906
Env1,52,121,1,2,2,12,Entry,6863.8081
Env1,39,122,1,1,1,39,Entry,4688.7353
Env1,5,123,1,1,1,5,Entry,4456.7587
Env1,137,124,1,4,4,17,Entry,4967.6599
Env1,165,125,1,5,5,5,Entry,6018.4593
Env1,160,126,1,4,4,40,Entry,4604.4332
Env1,51,127,1,2,2,11,Entry,6827.8346
Env1,69,128,1,2,2,29,Entry,4426.3625
Env1,34,129,1,1,1,34,Entry,4767.4053
Env1,162,130,1,5,5,2,Entry,6197.0565
Env1,2,131,1,1,1,2,Entry,5059.2067
Env1,136,132,1,4,4,16,Entry,4171.875
Env1,196,133,1,5,5,36,Entry,4922.6019
Env1,71,134,1,2,2,31,Entry,5136.9187
Env1,36,135,1,1,1,36,Entry,4348.256
Env1,103,136,1,3,3,23,Entry,6269.3675
Env1,73,137,1,2,2,33,Entry,5812.5
Env1,43,138,1,2,2,3,Entry,5538.6631
Env1,194,139,1,5,5,34,Entry,6388.0084
Env1,169,140,1,5,5,9,Entry,5989.5714
Env1,20,141,1,1,1,20,Entry,4945.1307
Env1,17,142,1,1,1,17,Entry,3656.25
Env1,79,143,1,2,2,39,Entry,6311.519
Env1,140,144,1,4,4,20,Entry,6288.8082
Env1,197,145,1,5,5,37,Entry,5861.9407
Env1,4,146,1,1,1,4,Entry,6012.6582
Env1,128,147,1,4,4,8,Entry,5625
Env1,47,148,1,2,2,7,Entry,4300.872
Env1,97,149,1,3,3,17,Entry,4814.6073
Env1,14,150,1,1,1,14,Entry,5556.977
Env1,22,151,1,1,1,22,Entry,4716.22
Env1,141,152,1,4,4,21,Entry,5639.8256
Env1,191,153,1,5,5,31,Entry,3924.4188
Env1,189,154,1,5,5,29,Entry,5172.874
Env1,159,155,1,4,4,39,Entry,5734.375
Env1,118,156,1,3,3,38,Entry,6283.4301
Env1,166,157,1,5,5,6,Entry,5380.596
Env1,114,158,1,3,3,34,Entry,5201.943
Env1,42,159,1,2,2,2,Entry,5915.6242
Env1,116,160,1,3,3,36,Entry,5019.5493
Env1,28,161,1,1,1,28,Entry,5843.75
Env1,107,162,1,3,3,27,Entry,5415.6979
Env1,115,163,1,3,3,35,Entry,6417.5145
Env1,87,164,1,3,3,7,Entry,6012.2095
Env1,188,165,1,5,5,28,Entry,5005.814
Env1,183,166,1,5,5,23,Entry,4709.3025
Env1,30,167,1,1,1,30,Entry,4794.3038
Env1,178,168,1,5,5,18,Entry,6248.8737
Env1,186,169,1,5,5,26,Entry,4245.7847
Env1,130,170,1,4,4,10,Entry,5375
Env1,99,171,1,3,3,19,Entry,3376.6353
Env1,104,172,1,3,3,24,Entry,5044.7858
Env1,8,173,1,1,1,8,Entry,5572.6746
Env1,120,174,1,3,3,40,Entry,5579.7601
Env1,50,175,1,2,2,10,Entry,5907.0674
Env1,170,176,1,5,5,10,Entry,4984.375
Env1,152,177,1,4,4,32,Entry,4933.3213
Env1,63,178,1,2,2,23,Entry,5240
Env1,89,179,1,3,3,9,Entry,4338.1905
Env1,77,180,1,2,2,37,Entry,5240
Env1,105,181,1,3,3,25,Entry,4119.1861
Env1,55,182,1,2,2,15,Entry,4446.2211
Env1,184,183,1,5,5,24,Entry,6070.8028
